article_id,n_chunks,mean_p_ai,median_p_ai,max_p_ai,share_ai_like,mean_words,mean_words_per_sentence
article_1576,23,0.78699917,0.98067415,1.0,0.6521739130434783,54.47826086956522,13.637681159420291
article_0321,21,0.7869961,0.9992625,1.0,0.7619047619047619,62.23809523809524,15.55952380952381
article_0550,12,0.7867519,0.9999938,1.0,0.6666666666666666,52.916666666666664,13.229166666666666
article_1399,13,0.78629553,0.99646175,1.0,0.6153846153846154,56.84615384615385,14.211538461538462
article_0029,26,0.78570527,0.9970027,1.0,0.6923076923076923,72.8076923076923,18.28205128205128
article_1052,17,0.7848634,0.9538579,1.0,0.6470588235294118,58.94117647058823,15.019607843137255
article_0944,12,0.78438276,0.9139745,1.0,0.5833333333333334,53.25,13.3125
article_1112,15,0.7839668,0.9999993,1.0,0.7333333333333333,69.26666666666667,17.35
article_0773,9,0.78357697,1.0,1.0,0.7777777777777778,57.0,14.25
article_1273,9,0.7835081,0.99985915,1.0,0.7777777777777778,61.111111111111114,15.277777777777779
article_0267,12,0.78201413,1.0,1.0,0.75,59.5,14.979166666666666
article_1137,16,0.7819164,0.9999701,1.0,0.75,42.25,10.5625
article_0736,10,0.78161174,0.99997795,1.0,0.7,60.7,15.391666666666666
article_0442,11,0.7813986,0.9942591,1.0,0.7272727272727273,52.36363636363637,13.090909090909092
article_0865,12,0.7810076,0.97961277,1.0,0.6666666666666666,55.0,13.75
article_1270,9,0.7808393,0.9990621,1.0,0.7777777777777778,43.22222222222222,10.805555555555555
article_1308,10,0.7804886,0.99995303,1.0,0.7,73.6,18.4
article_0925,10,0.78048855,0.98539317,1.0,0.8,57.2,14.3
article_1201,9,0.78010267,1.0,1.0,0.7777777777777778,62.77777777777778,15.694444444444445
article_0006,23,0.77912444,0.9977307,1.0,0.6956521739130435,36.30434782608695,9.076086956521738
article_1023,5,0.7789654,0.9932846,1.0,0.8,79.2,19.8
article_1253,17,0.77891046,0.99963725,1.0,0.7647058823529411,53.05882352941177,13.264705882352942
article_1339,12,0.77771765,1.0,1.0,0.6666666666666666,54.916666666666664,13.729166666666666
article_0573,15,0.7765475,0.9999009,1.0,0.7333333333333333,74.73333333333333,18.683333333333334
article_0165,6,0.77628976,0.99383765,0.99999994,0.6666666666666666,62.0,16.22222222222222
article_1336,7,0.7760808,1.0,1.0,0.7142857142857143,80.14285714285714,20.035714285714285
article_0246,13,0.77567554,0.99922305,1.0,0.6923076923076923,49.46153846153846,12.455128205128204
article_1029,20,0.77543366,0.93764967,1.0,0.6,52.9,13.225
article_1225,23,0.7746679,0.97149754,1.0,0.6956521739130435,64.56521739130434,16.141304347826086
article_0005,15,0.77463233,0.99953955,1.0,0.7333333333333333,76.33333333333333,19.083333333333332
article_0284,17,0.7742548,0.99681884,1.0,0.7647058823529411,42.88235294117647,10.720588235294118
article_1274,8,0.77402943,0.99595976,1.0,0.75,52.0,13.0
article_1027,10,0.7739722,0.9995699,1.0,0.7,66.9,17.158333333333335
article_0917,6,0.7738202,1.0,1.0,0.6666666666666666,66.16666666666667,16.541666666666668
article_1444,12,0.7726257,0.968515,1.0,0.6666666666666666,43.583333333333336,11.326388888888888
article_0214,20,0.77257925,0.9998404,1.0,0.65,58.6,14.65
article_1232,16,0.77074265,0.9999785,1.0,0.625,66.0,16.5
article_1582,16,0.7697366,0.9999423,1.0,0.6875,51.0,12.770833333333334
article_1254,7,0.769522,1.0,1.0,0.5714285714285714,71.42857142857143,17.857142857142858
article_1098,13,0.7684679,1.0,1.0,0.6923076923076923,36.84615384615385,9.211538461538462
article_0633,14,0.7678213,0.99996173,1.0,0.6428571428571429,63.92857142857143,16.363095238095237
article_0474,8,0.7675588,0.98584497,1.0,0.75,67.0,17.322916666666668
article_0681,11,0.76748616,0.99941224,1.0,0.6363636363636364,60.27272727272727,15.484848484848486
article_0398,19,0.76732695,0.99945915,1.0,0.6842105263157895,62.89473684210526,15.899122807017543
article_0958,10,0.7665166,0.918911,1.0,0.6,59.0,14.75
article_1158,11,0.76644874,1.0,1.0,0.6363636363636364,57.72727272727273,14.833333333333332
article_0295,37,0.76617193,0.9896326,1.0,0.6756756756756757,75.16216216216216,18.79054054054054
article_0466,13,0.7656511,0.9999999,1.0,0.6923076923076923,59.53846153846154,14.884615384615385
article_1100,8,0.7654581,1.0,1.0,0.625,77.875,19.46875
article_1067,13,0.765161,0.9930144,1.0,0.6153846153846154,95.15384615384616,23.78846153846154
article_1167,14,0.7651178,0.99659,1.0,0.6428571428571429,64.78571428571429,16.196428571428573
article_0943,14,0.7650716,0.99999344,1.0,0.7142857142857143,55.07142857142857,13.767857142857142
article_0718,11,0.76502854,0.97514397,1.0,0.7272727272727273,67.0,17.196969696969695
article_1204,8,0.76483285,1.0,1.0,0.75,60.375,15.59375
article_1597,17,0.76474494,0.9967903,1.0,0.7647058823529411,74.0,18.5
article_0826,14,0.76443684,0.9358125,1.0,0.7142857142857143,47.357142857142854,11.839285714285714
article_0828,8,0.7642089,0.98793095,1.0,0.75,60.75,15.1875
article_0531,22,0.764171,0.96926486,1.0,0.6363636363636364,42.77272727272727,10.693181818181818
article_0243,19,0.7640863,0.9987285,1.0,0.6842105263157895,37.31578947368421,9.328947368421053
article_0738,24,0.76398116,0.9988742,1.0,0.6666666666666666,63.083333333333336,15.770833333333334
article_0364,13,0.76342624,0.999999,1.0,0.6923076923076923,57.15384615384615,14.576923076923077
article_0942,14,0.76316655,0.9990698,1.0,0.7142857142857143,74.85714285714286,18.714285714285715
article_1607,11,0.7626426,0.99999857,1.0,0.7272727272727273,52.72727272727273,13.181818181818182
article_0800,11,0.76261526,0.9956503,1.0,0.6363636363636364,70.36363636363636,17.59090909090909
article_0348,12,0.7622765,0.99985313,1.0,0.6666666666666666,71.75,18.1875
article_0765,12,0.76224214,0.9940937,1.0,0.6666666666666666,93.75,23.4375
article_0695,31,0.761324,0.9691449,1.0,0.6451612903225806,38.67741935483871,9.701612903225806
article_0971,13,0.7608038,0.9996931,1.0,0.7692307692307693,65.46153846153847,16.365384615384617
article_1060,14,0.7606819,0.91414785,1.0,0.6428571428571429,75.57142857142857,19.291666666666664
article_0018,12,0.759723,0.99999934,1.0,0.6666666666666666,58.916666666666664,14.729166666666666
article_0772,28,0.75906837,0.9985521,1.0,0.75,45.75,11.532738095238097
article_0156,19,0.7589075,0.99900126,1.0,0.631578947368421,48.26315789473684,12.06578947368421
article_0464,21,0.75873774,0.98509437,1.0,0.6666666666666666,36.857142857142854,9.214285714285714
article_0961,10,0.7584008,1.0,1.0,0.7,48.2,12.05
article_1531,33,0.7579026,0.9866243,1.0,0.6666666666666666,55.57575757575758,13.893939393939394
article_1398,12,0.7577444,0.99601847,1.0,0.75,47.0,12.118055555555555
article_0371,10,0.7577199,0.9927031,1.0,0.7,74.9,18.725
article_0415,8,0.75768566,0.97996974,1.0,0.625,73.625,18.40625
article_0502,9,0.75750375,0.9459377,0.99999994,0.6666666666666666,70.66666666666667,18.12962962962963
article_0433,13,0.7571696,0.9984194,1.0,0.6923076923076923,65.53846153846153,16.384615384615383
article_1252,15,0.75557214,0.9976774,1.0,0.7333333333333333,57.06666666666667,14.266666666666667
article_0620,8,0.7554889,0.9999968,1.0,0.75,61.75,15.4375
article_1056,6,0.75520056,0.99308366,1.0,0.6666666666666666,83.5,20.875
article_0857,10,0.7551002,0.99958706,0.99999946,0.7,61.4,15.758333333333335
article_0923,18,0.7550239,0.9996561,1.0,0.6666666666666666,38.27777777777778,9.569444444444445
article_1456,8,0.7550047,0.99976575,1.0,0.75,60.0,15.5625
article_1546,23,0.75423646,0.91360056,1.0,0.6086956521739131,64.73913043478261,16.184782608695652
article_0074,12,0.75413865,0.990178,1.0,0.75,53.083333333333336,13.631944444444445
article_1140,5,0.754052,1.0,1.0,0.6,89.6,22.4
article_0050,9,0.7526587,0.8988205,0.9999928,0.6666666666666666,66.44444444444444,17.76851851851852
article_1414,8,0.7526555,0.9983039,1.0,0.75,61.5,15.375
article_0507,35,0.75173265,0.98469955,1.0,0.7428571428571429,64.65714285714286,16.164285714285715
article_0368,25,0.75166667,0.98831964,1.0,0.72,41.88,10.47
article_0344,10,0.7515196,0.95389146,1.0,0.6,78.3,19.575
article_1050,5,0.7511762,0.8661012,0.99999857,0.6,114.0,28.5
article_1324,14,0.7509672,0.9983456,1.0,0.7142857142857143,40.857142857142854,10.214285714285714
article_0130,10,0.7509173,0.9961528,1.0,0.7,46.7,11.675
article_1337,7,0.75020283,0.9999995,1.0,0.7142857142857143,70.0,17.5
